단어,설명
피치 (Fitch) ,"무디스, 스탠더드앤드푸어스와 함께 세계 3대 신용평가기관에 속하는 회사이다. 1997년 영국의 IBCA그룹과 피치 인베스터(Fitch Investors)의 합병으로 피치IBCA가 되었으나, 2000년 6월 1일 세계 4위의 신용평가회사 DCR(Duff&Phelps Credit Rating Co.)를 흡수합병하면서 현재의 회사명(Fitch)로 바꾸었다. 전 세계에 40여개 사무소와 1,100명의 직원이 있으며 75개국에서 신용평가업무를 수행한다. 1,600개 금융기관과 800여개의 기업에 대한 신용등급을 평가하며 3,300개의 구조금융(structured financings)에 대한 감시체제를 유지하고 67개 국가의 국가신용등급도 평가한다. 코디언트커뮤니케이션스 그룹 (Cordiant Communications Group plc.)에 속해 있으며 한국에서는 한국기업평가와 제휴관계를 맺고 있다. 본사는 뉴욕과 런던 2곳에 있다. "
하우스푸어(house poor),"(정의)&acute;내 집을 가지고 있지만 가난한 사람&acute;이라는 용어로서 집을 소유하고 있지만 주택 마련을 위한 대출로 인해 생긴 이자 부담과 원리금 상환 부담 등으로 빈곤하게 사는 사람(해설)하우스푸어는 주로 주택 가격 상승기에 주택 가격이 계속 상승할 것이라는 기대감을 바탕으로 대출을 받아 집을 장만했지만 금리 인상, 주택 가격 하락, 주택 거래 감소 등의 현상이 생기면서 고통받게 된다.하우스푸어가 증가하면 경매로 나오는 주택이 늘어나고, 시세보다 낮은 가격으로 낙찰되어 매매시장에 의 주택가격도 하락하여 결국 하우스푸어가 재생산되는 악순환이 반복된다. "
"하위무담보사채 (下位無擔保社債, subordinated debenture) ","하위무담보사채는 부채에 부여되는 자산청구권이 확보되지 않은 무담보사채를 말한다. 따라서 발행회사가 재무적 어려움에 직면하여 청산해야 하는 경우에, 하위 사채의 소유자가 상환을 받기 전에 모든 다른 청구권이 만족되어진다. 내재된 위험 때문에 발행회사는 이러한 증권을 투자자에게 판매하기 위해서는 상대적으로 높은 이자를 지불하여야 한다. 또한 이러한 사채의 발행 중 대부분은 보통주로 교환 가능한 권리를 주는 감미료를 포함하고 있다. 그러한 감미료는 하위사채에 대한 이자율을 감미료가 없는 경우에 요구되는 수준 이하로 감소시키기 위해 포함이 된다. 따라서 전환옵션이 없는 하위사채는 높은 현재소득을 원하는 위험 지향적 투자자들에게 선호된다. "
하이일드펀드/그레이펀드/투기채펀드 (high-yield fund) ,하이일드펀드(high-yield fund)는 수익률은 매우 높은 반면 신용도가 취약한 고수익/고위험채권에 투자하는 펀드를 말한다. 채권의 신용등급이 투자부적격(BB+ 이하)인 채권을 주로 편입해 운용하는 펀드이므로 발행자의 채무불이행 위험이 정상채권에 비해 상당히 높다. 따라서 투자를 잘하면 고수익이 보장되지만 반대의 경우 원금을 날릴 수도 있다. 
"할부금융회사 (割賦金融會社, hire-purchase finance house) ","내구소비재, 산업설비와 기계 등의 할부판매에 대하여 분할지급방식으로 금융을 제공하는 영국의 금융기관을 가리킨다. 상품소유권이 최종할부금과 수수료를 납입하여야만 구매자에게 이전된다. 이 회사는 기업의 기계, 설비의 투자금융, 어음방식에 의한 원료의 재고금융, 소비자신용과 팩터링도 취급하고 있다. "
"할부상환/연속상환 (割賦償還, installment redemption) ","만기가 상이한 여러 조(組)의 채권을 발행하여 만기가 도래하는 채권을 순차적으로 상환해 나가는 것을 가리킨다. 연속상환(serial payment)이라고도 하며, 이러한 채권을 연속상환채권(serial bond)이라고 한다. "
"할부판매리스 (割賦販賣리스, installment sale lease) ","리스회사가 기계, 설비를 구입하여 리스수요자에게 할부 판매하는 방식으로 제공하는 리스를 가리킨다. 리스회사는 리스수요자가 대금을 완전히 지급하기 전까지 기계, 설비에 대하여 저당권을 설정한다. "
"할인 (割引, discount) ","""할인이라는 용어는 3가지에 관련하여 사용된다. 첫째, 선물환시장에서 선물환율이 현물환율보다 적은 경우에 할인상태에 있다고 말하며, 그렇게 고시하는 것을 할인이라도 한다. 국제선물시장에서는 다음과 같이 고시한다. spot 2.0785 - 2.0885 1m&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 120 - 100 1m(1개월)의 120-100이 포인트 또는 핍스(pips)이며, 외쪽 포인트가 오른쪽 포인트보다 큰 경우가 할인이고, 그 반대의 경우는 할증이다. 다만, 영국 파운드의 경우에는 달러를 기준으로 하면 이와 반대이다. 둘째, 주식시장에서 시장가격이 액면가격보다 적은 경우, 이를 할인이라고 한다. 셋째, 할인시장에서 기한부어음을 매입하는 것을 할인이라고 한다. 예를 들면, 90일 만기어음 이라면 액면금액에서 90일간의 이자를 공제하고 대금을 지급한다. """
"할인상사 (割引商社, discount house) ","상업어음이나 무역어음을 할인하는 영국의 금융기관으로 재무성증권이나 환어음 등을 전문적으로 할인하는 금융기관을 말한다. 19세기 初 영국에서 창설되었으나 영국의 영향을 크게 받고 있는 싱가폴, 남아프리카공화국에서도 성행하고 있는 금융기관이다. 영국에서 생성될 초기에는 국내상업어음이 주요 할인대상 이었으나, 그 후 무역어음이 주요 할인대상이 되고 있다. 할인상사의 자금운용 대상은 재무성증권, 예금증서, 상업어음, CD와 5년 미만의 정부채 등이다. 이의 기능은 재무성증권의 인수 및 입찰 참여, TB 인수 등이며, 아직 영국의 영란은행의 경우 할인상사를 통해서만 청산은행(clearing banks)에 자금을 공급하고 있다. 주요한 할인상사로는 Union, Gerrad & Reid, Carter Ryder, Clive, Ki- ng & Shaxon, Smith St., Anbyn, Alexaders 등이며, 협회로는 London Discount Market Association이 있다. "
"할인시장 (割引市場, discount market) ","상업어음 또는 무역어음이 할인되는 시장을 할인시장이라 한다. 국제무역어음의 할인시장이 있는 나라는 미국, 영국, 서독과 일본 뿐이다. 할인시장은 런던시장과 뉴욕시장이 유명하다. 런던 할인시장에서는 재무증권, 만기 5년 미만의 정부채, 상업어음, 무역어음, CD가 할인되고 있으며, 런던 할인시장협회의 회원인 할인상사에 의하여 주로 할인되고 있다. 뉴욕의 할인시장은 상업어음시장, 은행인수어음시장과 정부증권시장으로 나뉘어 진다. 상업어음시장(C/P market)은 우량기업이 발행한 무담보어음이 주종을 이루고 있고, 은행인수어음시장(BA market)에서는 상업은행, 저축은행, 보험회사와 연방은행이 주로 어음을 인수하고 있다. 정부채권시장에서는 T/B(treasury bill), T/N(treasury note)과 treasury bond 가 주로 거래되고 있다. "
"할인율 (割引率, discount rate) ","할인율은 두 가지의 뜻을 가지고 있는데, 하나는 상업은행이 중앙은행에서 어음을 할인할 때 적용되는 공정할인율(official discount rate)을 말하며, 다른 하나는 자금의 현재가치를 산출할 때에 사용되는 금리를 가리킨다. "
"할인채 (割引債, discount debenture) ","이자가 붙지는 않지만 채권가격이 액면가격(상환가격)보다 낮은 채권을 말한다. 발행가격과 액면가격의 차액을 이자라고 볼 수 있다. 예를 들면 액면가격이 100일때 90 또는 85로 유통되는 경우의 채권이 그것이다. 우리나라에서 발행되는 대표적인 할인채로는 산업은행이 발행하는 산업금융채권을 들 수 있으며, 장기신용은행이 발행하는 장기신용채권도 할인채이다. "
합병 ,"합병의 방법에는 2개의 당사회사 중 한 회사가 존속하고 다른 회사는 해산하여 그 사원 및 재산이 존속회사에 포괄적으로 승계되는 흡수합병(좁은의미의 merger)과 2개의 당사회사가 모두 해산하여 새로이 신회사를 설립하고 해산회사의 사원 및 재산을 신회사에 포괄적으로 승계시키는 신설합병(consolidation)의 두가지가 있다. 실제에 있어서 회사의 합병은 주로 그 절차가 간단하고 비용이 적게 드는 흡수합병의 방법이 이용된다. 예를 들어 X회사가 Y회사를 흡수합병하는 경우, X회사는 법률상 당연히 Y회사의 권리의무관계를 포괄승계하게 된다. Y회사의 권리의무는 사법상의 관계나 공법상의 관계를 불문하고 그 성질상 이전을 허용하지 않는 것을 제외하고는 모두 합병으로 인하여 X회사에게 승계된다. 그러므로 Y회사의 적극재산에 대한 권리이전절차, 부채에 대한 인수절차 등을 거칠 필요가 없다. "
합작기업구조조정전문회사 (JV-CRC: Joint Venture Corporate Restructuring Company) ,"한국자산관리공사는 부실채권정리업무를 수행하면서 법원경매, 공매, 채권추심 등 기존의 전통적 채권회수 방법 이외에 국제입찰, 자산유동화증권(ABS)발행, 합작 자산관리회사(JV-AMC) 설립 등 다양한 금융기법을 도입하여 실행하던 중 정부가 아시아개발은행(ADB)으로부터 도입한 금융구조조정차관자금 40억불 중 5억불을 사용하게 되었다. 한국자산관리공사는 동 차관자금을 최대한 효율적으로 활용하여 부실채권정리 및 기업구조조정에 기여할 수 있는 방안을 검토한 결과, 당시로서는 구조조정관련 업무 경험과 전문성이 취약하고 원리금 상환부담 위험을 안고 있는 자금성격을 고려할 때 기업구조조정과 자금운용에 전문화된 지식이 필요하다는 결론에 도달하였다. 이에 따라 한국자산관리공사는 재정경제부 및 금융감독위원회와의 협의를 거쳐 외국투자회사와 각각 5억불을 출자하여 총 10억불의 자금으로 3개의 합작기업구조조정전문회사(JV-CRC)를 설립하기로 하였다. JV-CRC의 설립목적은 ADB 차관자금을 활용하여 국내외 전문투자기관과 합작으로 기업구조조정전문회사를 설립하여 한국자산관리공사가 보유한 부실채권이나 부실기업 등에 투자함으로써 금융 및 기업구조조정을 촉진하고, JV-CRC 운용의 적극적인 참여를 통해 전문적인 업무 Know-how를 습득하여 한국자산관리공사의 업무능력 강화를 도모하는 데 있다. "
합작기업구조조정투자회사(JV-CRV: Joint Venture Corporate Restructuring Vehicle)? ,"한국자산관리공사는 투신사를 비롯한 금융권으로부터 채권액 기준으로 약 27조원, 매입대금 기준으로 11조원을 상회하는 막대한 규모의 대우채권을 인수한 바 있다. 한국자산관리공사는 대우채권의 처리문제가 국민경제 차원에서도 매우 중요한 관건으로 인식되고 있는 만큼, 그 회수대책마련에 만전을 기하고 있다. 특히 대우채권의 경우 한국자산관리공사가 초기에 인수한 부실채권과는 달리 소위 워크아웃 채권으로서 즉시 매각보다는 기업개선작업에 의한 가치제고 후 매각으로 회수율을 높여야 하는 과제를 안고 있었다. 이러한 상황에도 불구하고 한국자산관리공사는 워크아웃과정 또는 매각과정이 상당히 진행된 단계에 참여함으로써 그 진행상황에 수동적으로 참여내지 지원하는 입장을 벗어나기 어려웠다.또한 워크아웃이 주관 또는 전담은행 중심으로 진행되는 반면 한국자산관리공사는 여신기능의 미비로 그 역할이 제한되고 있다. 이와 같은 한계를 비추어 볼 때 한국자산관리공사는 내부에 축적된 노하우를 적극 활용하여 부실채권정리 및 기업구조조정업무를 동시에 수행할 수 있는 CRV를 적극 활용하고자 하였다."
합작자산관리회사 (JV-AMC: Joint Venture Asset Management Company) ,"한국자산관리공사가 설립한 합작자산관리회사는 유동화전문회사로부터 유동화자산(자산유동화대상이 되는 채권, 부동산 등)의 관리업무를 위임받아 실질적으로 대상자산을 관리하는 회사로서 자산유동화법에서 규정하고 있는 자산관리자(servicer)이다.특히 한국자산관리공사의 JV-AMC는 임대, 물건관리 등의 소극적인 업무만을 수행하는 관리자에서 발전하여 자산가치평가 및 관리/처분계획 수립, 부동산의 관리 및 가공/개발, 신용조사, 채권추심, 경매 등을 포함하는 포괄적 업무를 수행하는 적극적인 자산관리회사에 해당한다. JV-AMC는 일정한 자격요건을 구비한 외국의 전문회사와 최소 자본금 10억원 이상으로 합작하여 설립한다."
핫 머니 (hot money) ,"1935년 미국의 루즈벨트 대통령이 처음 사용한 말로 국제금융시장을 분주히 이동하는 단기자금을 가리킨다. 각국의 단기금리의 차이, 환율의 차이에 의한 투기적 이익을 목적으로 하는 것과 국내통화불안을 피하기 위한 자본도피 등 두 종류가 있다. 핫 머니의 특징으로는 첫째, 자금이동이 일시에 대량으로 이루어진다는 점, 둘째, 자금이 유동적인 형태를 취한다는 점을 들 수 있다. 따라서 핫 머니는 외환의 수급관계를 크게 동요시켜 국제금융시장의 안정을 저해한다. 핫 머니의 이동은 한 나라의 통화정책에 중요한 영향을 미친다. 자본유출국에서는 국제수지가 악화되고 환율을 상승시키며, 자본유입국에서는 유동성증가로 인플레이션을 초래한다. 최근에는 유러달러(Eurodollars)가 전형적인 핫 머니의 성격을 나타내 보이며 거액의 투기자금으로서 국제금리 및 통화안정에 크게 영향을 주고 있다. 또한 국제금융시장뿐 아니라 투기적 이익을 노리고 국내시장을 이동하는 단기자금도 핫 머니라 일컬어진다. "
행정재산 ,"국유재산 중 보존재산과 잡종재산을 제외한 재산을 행정재산이라 하는데, 행정재산은 다시 공용재산, 공공용재산 및 기업용재산으로 나뉜다. 공용재산은 국가가 직접 그 사무용, 사업용 또는 공무원의 주거용으로 사용하거나 사용하기로 결정한 재산이고, 공공용재산은 국가가 직접 공공용(도로, 항만, 공원 등)으로 사용하거나 사용하기로 결정한 재산이며, 기업용 재산은 정부기업이 직접 그 사무용, 사업용 또는 당해기업에 종사하는 직원의 주거용으로 사용하거나 사용하기로 결정한 재산을 말한다. 행정재산은 공공의 목적으로 사용되는 재산이므로 특수한 공법상의 규제를 받으며, 원칙적으로 이를 대부(貸付), 매각, 교환, 양여 또는 신탁하거나 출자의 목적으로 하거나, 사권(私權)을 설정하지 못한다. 그러나 예외적으로 특정한 범위 안에서 3년 이내에 그 사용 또는 수익을 허가할 수 있고 사용료를 징수하며 특별한 경우에는 면제할 수도 있다. "
헤븐 앤드 헬 채권 (heaven and hell bond) ,"만기시에 액면표시통화 이외의 통화로 상환하되 만기시의 환율을 적용하는 채권을 말한다. 1985년 11월에 IBM Credit corp.에 의해 처음으로 개발되었다. 당시 발행규모는 1억달러 이었고, 약정환율은 US$ 1 = ￥169 이었으나, 만기시 실제환율에 의하여 상환되므로 달러 강세이면 상환액이 줄어들어 바람직 하나, 달러 약세이면 상환액이 늘어나게 되어 손해를 부담하므로 heaven and hell이라 불리운다. "
헤지 (hedge) ,"환율, 금리 또는 주가지수의 변동에서 오는 가격변동 위험을 제거하기 위해 행하는 거래이다. 예를 들어 어떤 기업이 외국에 상품을 팔고 수출대금을 3개월 뒤에 받기로 했다고 하면 3개월 후의 환율이 어떻게 되느냐에 따라 수출대금의 가치가 크게 달라질 수 있다. 이럴 경우 이 기업은 환율변동 위험에 노출되어 있다고 하는데, 이러한 환율변동 위험을 제거하기 위해 행하는 거래를 헤징이라고 한다. 이때 기업은 미래의 환율을 미리 고정시키는 선물환거래를 행함으로써 환율변동 위험을 줄일 수 있으며, 선물환거래는 대표적인 헤징의 예다. 즉 헤지는 투자가가 자신의 이익을 가격변동 위험으로부터 보호하고자 이미 보유하고 있거나 보유예정인 현물포지션에 대하여 동일한 수량의 반대포지션을 선물?옵션시장에서 위하는 것을 말한다. "
헤지비율 (hedge ratio) ,"주식투자의 위험을 줄이기 위해 옵션을 거래할 때, 주식과 옵션의 결합비율을 계속 조정해 나가면 투자위험의 완전 헤징(hedging)을 가져올 수 있다. 이러한 조정과정에서 기초주식가치 1의 가격변화에 대한 옵션가치의 변화를 헤지비율이라고 한다. 이는 주식과 옵션시장의 상황에 따라 다르게 관찰되며 0과 1사이의 값을 갖게 된다. 이 비율에 따라 옵션을 발행할 경우 주식과 옵션의 가치는 동일한 크기만큼 변하게 되어 무위험헤지를 성립시킨다. 이러한 헤지비율을 기초주식의 가격, 옵션의 행사가격, 만기까지의 기간 등에 따라 다르게 된다. "
헤지주(stock as inflation hedge) ,"인플레이션에 의한 자산가치의 하락을 막기 위해 주식을 사는 것을 헤지매입이라 하고, 그 대상이 되는 종목을 헤지주라고 한다. 일반적으로 부동산주나 보험회사 주식 등의 자산가치가 큰 회사의 주식이 헤지주라고 불리워진다. 이밖에 통화제도나 통화가치에 대한 불안감이 있을 때 즉, 통화불안이 대두되었을 때 주를 사는 것도 일반적으로 헤지매입이라고 한다. "
헤지펀드 (hedge fund) ,"헤지펀드란 말은 사기도 하고 팔기도 하면서 위험을 회피하는 펀드라는 의미로서, &acute;고위험=고수익&acute; 원칙에 따라 선물/옵션 등 파생금융상품의 거래를 통해 자금을 투기적으로 운용하는 투자신탁을 말한다. 이들은 막강한 정보 수집력을 바탕으로 주로 파산 직전의 기업이나 금융시장이 불안한 개발도상국 시장을 투자대상으로 삼는다. 헤지펀드는 소수의 거액 투자자들에 의해 투기적으로 운용된다는 점에서 안정적인 자산증식을 원하는 대다수 소액투자자들이 포트폴리오 수단으로 활용하는 뮤추얼펀드와는 크게 다르다고 할 수 있다. 100명 미만의 투자가들로부터 개별적으로 자금을 모아 파트너쉽(partnership)을 결성한 후에 카리브해의 버뮤다제도와 같은 조세회피(租稅回避) 지역에 위장거점을 설치하고 자금을 운영하는 투자신탁의 형태를 띤다. "
"헤징 수요 (hedging demand, 동의어: 거래적 수요) ","무역거래, 무역외거래 또는 자본거래에 수반하는 환리스크를 피하기 위하여 선물환을 수요하는 경우, 이와 같은 수요를 말하며 거래적 수요라 한다. "
"현가 (現價, present value) ","자금의 가치는 현재가치와 장래가치로 구분되며, 투자계획에 있어서는 장래가치를 현재가치로 치환(置換)하여 평가하는 것이 필요하다. 장래가치란 자금이 가지는 일정기간 후의 가치를 뜻하는 것으로 현재가치에 이자를 가산하여 산출한다. 그러나 장래가치의 산출에는 단순이율이 아닌 복리(compound interest rate)를 적용하여야 한다. 그러므로 현재가치는 장래가치를 이자율로 할인하여 구할 수 있다. 지금 현재가치를 P, 장래가치를 F라 하면, n연도의 장래가치 F는 P에 금리 i를 곱한 것과 같다. &nbsp;&nbsp;&nbsp;&nbsp;F = P(1+i)ⁿ&nbsp;&nbsp;&nbsp;&nbsp; -----------------------------&nbsp; (1) 식 (1)을 P에 관하여 정리하면, &nbsp;&nbsp;&nbsp;&nbsp;P = F 1/(1+i)ⁿ -----------------------------&nbsp; (2) 그러므로 현재가치(P)는 장래가치를 (1-i)ⁿ으로 나누어 산출한다. 여기서 1/(1+i)ⁿ을 할인계수(discount factor) 또는 현가계수(present worth factor)라고 한다. "
현가할인 (DIV: Derived Investment Value) ,자산의 투자가치를 산정하는 방법의 하나로 투자자산으로부터 수입금액과 지출금액을 추정하여 이를 일정비율로 현가할인하는 방법을 말한다. 
현물인도 (delivery) ,"선물계약을 한 후 반대매매를 통한 차금결제 청산을 하지 않을 경우, 선물매도자는 해당현물을 인도해야 하고 지정된 선물매입자는 그 현물을 인수하게 되는 현물인수도를 지칭한다. 대부분 거래소의 경우 실물인수도는 매도자의 권리로서 매도자가 최초인도통지일(first notice day) 이후에 청산소에 실물인도통지(delivery notice)를 하면 청산소는 바로 선물매입자중에서 매입일자 순으로 가장 오래된 매입 포지션 보유자에게 실물인수를 명령한다. 상품 선물거래인 경우 실물인수 통지를 한 매도자는 거래소가 지정한 창고(warehouse)에 해당현물을 입고시키고 창고로부터 발급받은 창고증권(warehouse warrant)을 청산소에 제출하고 상품대금을 수령한다. 매입자는 반대로 동일금액을 청산소에 지불하고 해당창고 증권을 수령함으로써 모든 실물인수도는 종결된다. "
현물증여재산 ,청산법인의 청산종결로 인하여 국가로 현물증여 된 재산을 말한다. 
"현물출자 (現物出資, payment in kind) ","금전 이외의 재산 즉 토지/건물과 같은 부동산, 유가증권/상품과 같은 동산 및 특허권/지상권 등의 무형자산에 의한 출자형태를 말한다. 기업의 조직변경,매수합병 등의 경우에 행하여진다.  주식회사에 있어서는 현금출자를 원칙으로 하고, 회사의 설립 또는 신주 발행시에는 예외적으로 현물출자를 인정하고 있다. 물적 회사의 설립에 있어서는 이것을 변태설립(變態設立) 사항으로 규정하여 엄격히 규제하고 있다. 주식회사의 경우에는 발기인에 한하여 인정하고 있으며(상법 290조 이하), 정관에 현물출자를 하는 자의 성명,출자자산,가격,수량과 이에 대하여 부여할 주식의 종류와 수를 기재하도록 하고 있다. 신주발행의 경우에는 누구라도 현물출자를 할 수 있으나 이사회가 현물출자를 하는 자의 성명,출자자산가격,수량과 이에 대하여 부여할 주식의 종류와 수를 결정하여야 한다. "
현재 원금액 (outstanding principal balance) ,"현재 원금액이라 함은 각각의 채권에 관하여는 채권의 채권계정일 현재의 원금액을 말하고, 각각의 채권풀에 관하여는 당해 채권풀상의 채권의 현재 원금액 총액에 해당하는 채권계정일 현재의 금액을 말한다. "
협약채권 ,"기업개선작업 대상 회사의 채권자가 기업구조조정촉진을 위한 금융기관 협약(이하 기업구조조정협약)에 가입하거나, 동 협약 15조 7항에 의한 협약 참여를 통해 대상회사의 채권을 일정한 조건으로 완화 조정된 협약 체결이 완료된 채권으로서 반대적 개념으로 비협약채권이 있으며 이는 협약에 의한 채권조정 없이 정상적인 법적 효력을 유지하고 있는 채권을 말한다. "
"협조융자 (協調融資, joint financing) ","협조융자는 2개 이상의 은행이 한 기업에 동일 목적에 따라 자금을 대출하는 일을 말한다. 협조융자에는 융자의 집중화외에 대출경쟁의 회피, 위험분산 등의 목적이 있고, 협정된 융자조건, 즉 대출금액, 대출분담비율(협조융자 비율), 대출조건에 따라 각 은행이 개별적으로 대출하는 융자방식이다. 보통 대규모 사업자금 융자에 있어서 1개 은행으로는 그 공급에 어려움을 느끼는 경우, 특정 은행이 2개 이상의 은행과 협의하여 융자조건을 정하고 대출하는 것을 말한다. "
화의 (和議) ,"채무자에게 파산원인이 생겨 파산선고를 받아야 할 상태에 있을 때 그 파산선고를 예방하기 위하여 행하여지는 강제화의이다. 바로 파산절차로 이행하면 파산자의 영업은 궤멸되고 그 절차에 많은 시간, 노력, 비용을 요함에도 불구하고 매득금은 보통 소액에 그친다. 따라서 채권자에의 배당도 적어지는 것이 통례이므로 이러한 파산제도의 문제를 보충하는 것으로서 종래 파산절차의 종결의 한 방법으로서 발달하여 온 강제회의를 한 걸음 더 나아가 파산선고전에 파산을 예방하는 방법으로서 행하려 한 것이 화의제도이다. "
화의법 (和議法) ,"기업이 파산위험에 직면했을 때 법원의 중재감독하에 채권자들과 채무변제협정(화의조건)을 체결, 어떻게 빚을 갚겠다는 계획을 세워 파산을 면하는 제도다. 기업이 파산을 면하기 위해 채권금융기관과 협상해 채무변제계획을 새로 세우게 되는 이 제도는 법정관리와는 달이 경영권이 그대로 인정된다. 법원은 화의신청이 타당하다고 판단되면 법정관리에서와 같이 회사재산 보전처분 결정을 내려 기업도산을 막아주지만, 법원이 법정관리인을 선정하고 기업경영까지 책임지는 법정관리와는 달리 기업경영에 전혀 개입하지 않고 기존 경영주가 기업경영을 계속 맡는다. "
화의제도 (和議制度) ,"기업이 파산위기에 처했을 때 법원의 중재?감독하에 채권자들과 채무변제협정(화의조건)을 체결하여 파산을 피하는 제도이다. 법원은 화의신청이 타당하다고 판단되면 법정관리에서와 같이 회사재산 보전처분을 내려 기업도산을 막아주지만, 법원이 법정관리인을 선정하고 기업경영까지 책임지는 법정관리와는 달리 기업경영에 전혀 개입하지 않고 기존 경영주가 기업경영을 계속 맡는다. 또 화의개시 결정기업에는 부채를 5년 이상 분할상환 할 수 있는 혜택이 주어진다. 기업이 법원에 채무변제방법, 채권/채무자 열람표 등을 갖춰 화의를 신청하면 법원은 감정인을 선임해 이 서류들을 심사한다. 이 과정에서 법원은 화의신청 후 10일 이내에 재산보전처분을 내려 모든 채무와 채권을 동결하고, 각 채권자들에게서 채권신고를 받아 채권자집회를 소집한다. 여기에서 임금, 조세, 저당권, 질권 등은 채권 신고대상에서 제외된다. 채권자회의에서는 반수 이상이 찬성해야 하며, 채권액 기준으로 4분의 3이상이 화의에 동의했을 때만 화의가 받아들여진다."
화의채권 ,"화의의 성립에 관하여 채권자집회에 있어서 의결권의 기초가 되고 또 화의성립 후에는 법원이 인가한 화의에 구속되는 결과, 화의조건에 따라 변제를 받게 되어 있는 청구권이다. 화의채권은 채무자에 대하여 화의개시전의 원인에 기하여 발생한 재산상의 청구권이어야 하고, 채무자에 대한 인적 청구권이 아니면 안되나 일반의 우선권이 있는 채권, 화의개시 후의 이자, 화의개시후의 불이행에 의한 손해배상 및 위약금, 화의절차 참가의 비용, 벌금, 과료, 형사소송비용, 추징금, 과태료는 화의채권이 되지 아니한다. 파산의 경우에 별제권을 행사할 수 있는 권리를 가지는 자는 그 권리의 행사에 의하여 변제 받을 수 없는 채권액에 관하여서만 화의채권자로서 그 권리를 정하는 방법에 관하여는? 화의법 제46조 내지 제49조에게 상세히 규정하고 있다. 화의채권의 신고에 관하여는 파산채권의 신고에 관한 규정이 준용된다. "
화이트 나잇 (white knight) ,적대적 M&A에 대항하기 위하여 매수대상기업이 매수희망기업이외의 제3자에게 매도한 경우 제3자를 white knight라고 한다. 매수희망기업은 스스로 white knight를 선정하여 이 기업이 매수하도록 할 수 있다. 
확정금리상품(確定金利商品),확정금리상품이란 금융회사가 금융상품 가입기간 동안 계약자에게 확정된 금리를 제공하는 상품
환매/해제사유 ,"환매는 한국자산관리공사와 채권매각 금융기관과의 채권양수도계약에 의해 일정한 사유가 발생할 경우 부실채권을 매각금융기관에 다시 돌려주고 매각대금을 회수하는 제도이다. 특별채권을 통상 변제기간이 장기(5~10년)이므로 변제원리금을 보장 받기 어려운 관계로 한국자산관리공사 입장에서는 부실채권정리기금의 손실을 사전에 예방하기 위하여 동 제도를 운영하고 있다. 매각금융기관 또한 동 제도가 없을 경우, 부실채권의 매각가격이 상대적으로 낮아질 수밖에 없고, 이로 인해 일시에 엄청난 액수의 매각손이 회계에 즉시 반영되므로 BIS비율에 악영향을 초래할 수 있다. 따라서 동 제도는 매각금융기관에게는 부실채권의 매각과 재매입 기간동안 일시적인 유동성을 지원하는 효과가 있고, 한국자산관리공사 측에는 투입한 공적자금을 손실없이 회수하는 효과를 부여하여 왔다. "
환매제도 (還賣制度) ,"양도한 재산을 다시 회복할 수 있는 권리를 보유하면서 매도하는 방법이다. 환매제도는 금융을 주는 입장에서 본다면 담보권의 설정이라는 복잡한 절차없이 확실하게 채권을 담보할 수 있고 신용을 얻는 입장에서 보면 소유권을 이전하므로 비교적 많은 돈을 얻을 수 있으며, 부동산인 경우 등기하여 제삼자에 대해서도 목적물의 반환을 주장할 수 있기 때문에 편리한 수단으로 이용되고 있다. 환매의 특약은 매매계약과 동시에 해야 하며 부동산의 경우 매매등기와 동시에 환매권보유등기를 할 수 있다. 이 경우 제삼자에 대한 선등기 권리를 주장할 수 있다. 환매기간은 동산은 3년, 부동산은 5년을 넘지 못한다. "
환매조건부채권 (RP: repurchase agreement) ,"환매조건부채권은 금융기관이 보유하고 있는 국채, 지방채, 특수채 및 우량회사채 등을 담보로, 투자자에게 일정기간 경과 후 사전에 제시한 확정이자율을 받을 수 있도록 일정가격으로 매입하는 조건을 붙여서 발행하는 채권으로 환매채라고도 한다. 즉, 판매 금융기관에서 보유하고 있는 국공채나 신용등급이 우량한 채권을 근거로 하여 투자자에게 판매하는 상품이다. 해당 금융기관에서 확정금리로 재매입을 보장해 주며, 채권실물을 발행하지 않고 통장식으로 거래하므로 채권양도는 되지 않는다. 다만 본인 및 제3자를 위한 질권설정과 담보대출은 가능하다. 환매조건부채권을 취급하는 금융기관으로는 은행, 종합금융회사, 증권회사 등이 있으며 가입대상은 제한이 없다.가입기간이 1년 이하로 보통 3개월 정도 운용하기에 적합한 상품이다. 가입시 금융기관에 따라 최저 가입금액을 제한하기도 하며, 만기일이 경과한 후에도 이자를 지급하는 곳과 지급하지 않는 곳이 있으므로 가입할 때 이점을 유의할 필요가 있다. "
